CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;REGION
65;533;ABW;Aruba;Aruba;Aruba;Americas
13;4;AFG;Afeganistão;Afghanistan;Afganistan;Asia
40;24;AGO;Angola;Angola;Angola;Africa
41;660;AIA;Anguilla;Anguilla;Anguilla;Americas
15;248;ALA;Aland, Ilhas;Aland Islands;Alans, Islas;Europe
17;8;ALB;Albânia;Albania;Albania;Europe
37;20;AND;Andorra;Andorra;Andorra;Europe
47;530;ANT;Antilhas Holandesas;Netherlands Antilles;Antillas Holandesas;
237;784;ARE;Dubai;Dubai;Dubai;Asia
244;784;ARE;Emirados Árabes Unidos;United Arab Emirates;Emiratos Árabes Unidos;Asia
63;32;ARG;Argentina;Argentina;Argentina;Americas
64;51;ARM;Armênia;Armenia;Armenia;Asia
691;16;ASM;Samoa Americana;Americana Samoa;Samoa Americana;Oceania
42;10;ATA;Antártica;Antarctica;Antártida;
781;898;ATF;Terras Austrais Francesas;French Southern Lands;Tierras Australes Francesas;Africa
43;28;ATG;Antígua e Barbuda;Antigua and Barbuda;Antigua y Barbuda;Americas
69;36;AUS;Austrália;Australia;Australia;Oceania
72;40;AUT;Áustria;Austria;Austria;Europe
73;31;AZE;Azerbaijão;Azerbaijan;Acerbaiyan;Asia
115;108;BDI;Burundi;Burundi;Burundi;Africa
87;56;BEL;Bélgica;Belgium;Bélgica;Europe
229;204;BEN;Benin;Benin;Benin;Africa
99;535;BES;Bonaire, Saint Eustatius e Saba;Bonaire, Saint Eustatius and Saba;Bonaire, Saint Eustatius y Saba;Americas
31;854;BFA;Burkina Faso;Burkina Faso;Burkina Faso;Africa
81;50;BGD;Bangladesh;Bangladesh;Bangladesh;Asia
111;100;BGR;Bulgária;Bulgaria;Bulgaria;Europe
80;48;BHR;Barein;Bahrein;Bahrein;Asia
77;44;BHS;Bahamas;Bahamas;Bahamas;Americas
98;70;BIH;Bósnia-Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina;Europe
693;652;BLM;São Bartolomeu;Saint Barthelemy;San Bartolomé;Americas
85;112;BLR;Belarus;Belarus;Belarús;Europe
88;84;BLZ;Belize;Belize;Belice;Americas
90;60;BMU;Bermudas;Bermuda;Bermuda;Americas
97;68;BOL;Bolívia;Bolivia;Bolivia;Americas
100;898;BRA;Internação na Zona Franca de Manaus;Internment in the Manaus Free Trade Zone;Internamiento de la Zona Franca de Manaus;Americas
105;76;BRA;Brasil;Brazil;Brasil;Americas
83;52;BRB;Barbados;Barbados;Barbados;Americas
108;96;BRN;Brunei;Brunei;Brunei;Asia
119;64;BTN;Butão;Bhutan;Bhután;Asia
102;74;BVT;Bouvet, Ilha;Bouvet Island;Bouvet, Isla;Americas
101;72;BWA;Botsuana;Botswana;Botswana;Africa
640;140;CAF;República Centro-Africana;Central African Republic;República Centroafricana;Africa
149;124;CAN;Canadá;Canada;Canadá;Americas
165;166;CCK;Cocos (Keeling), Ilhas;Cocos (Keeling) Islands;Cocos (Keeling), Islas;Oceania
767;756;CHE;Suíça;Switzerland;Suiza;Europe
158;152;CHL;Chile;Chile;Chile;Americas
160;156;CHN;China;China;China;Asia
193;384;CIV;Costa do Marfim;Cote D'Ivore;Costa de Marfil;Africa
145;120;CMR;Camarões;Cameroon;Camerún;Africa
888;180;COD;Congo, República Democrática;Democratic Republic of the Congo;República Democrática del Congo;Africa
177;178;COG;Congo;Congo;Congo;Africa
183;184;COK;Cook, Ilhas;Cook Islands;Cook, Islas;Oceania
169;170;COL;Colômbia;Colombia;Colombia;Americas
173;174;COM;Comores;Comoros;Comoras;Africa
127;132;CPV;Cabo Verde;Cape Verde;Cabo Verde;Africa
196;188;CRI;Costa Rica;Costa Rica;Costa Rica;Americas
790;200;CSK;Tchecoslováquia;Czechoslovakia;Checoslovaquia;
199;192;CUB;Cuba;Cuba;Cuba;Americas
200;531;CUW;Curaçao;Curaçao;Curazao;Americas
511;162;CXR;Christmas (Navidad), Ilha;Christmas Island;Navidad (Christmas), Isla;Oceania
137;136;CYM;Cayman, Ilhas;Cayman Islands;Caimán, Islas;Americas
163;196;CYP;Chipre;Cyprus;Chipre;Asia
791;203;CZE;Tcheca, República;Czech Republic;República Checa;Europe
23;276;DEU;Alemanha;Germany;Alemania;Europe
25;278;DEU;Alemanha Oriental;East Germany;Alemania del Este;Europe
783;262;DJI;Djibuti;Djibouti;Djibouti;Africa
235;212;DMA;Dominica;Dominica Island;Dominica;Americas
232;208;DNK;Dinamarca;Denmark;Dinamarca;Europe
647;214;DOM;República Dominicana;Dominican Republic;República Dominicana;Americas
59;12;DZA;Argélia;Algeria;Argelia;Africa
239;218;ECU;Equador;Ecuador;Ecuador;Americas
240;818;EGY;Egito;Egypt;Egipto;Africa
243;232;ERI;Eritreia;Eritrea;Eritrea;Africa
685;732;ESH;Saara Ocidental;Western Sahara;Sahara Occidental;Africa
20;724;ESP;Alboran-Perejil, Ilhas;Alboran-Perejil, Islands;Alboran-Perejil, Islas;Europe
151;724;ESP;Canárias, Ilhas;Canary, Islands;Canarias, Islas;Europe
245;724;ESP;Espanha;Spain;España;Europe
251;233;EST;Estônia;Estonia;Estonia;Europe
253;231;ETH;Etiópia;Ethiopia;Etiopía;Africa
271;246;FIN;Finlândia;Finland;Finlandia;Europe
870;242;FJI;Fiji;Fiji;Fiji;Oceania
255;238;FLK;Falkland (Malvinas);Falkland Islands (Malvinas);Malvinas (Falkland), Islas;Americas
275;250;FRA;França;France;Francia;Europe
259;234;FRO;Faroe, Ilhas;Faroe Islands;Feroé, Islas;Europe
499;583;FSM;Micronésia;Micronesia;Micronesia;Oceania
281;266;GAB;Gabão;Gabon;Gabón;Africa
152;826;GBR;Canal, Ilhas do (Jersey);Jersey;Jersey;Europe
367;826;GBR;Inglaterra;England;Inglaterra;Europe
628;826;GBR;Reino Unido;United Kingdom;Reino Unido;Europe
786;826;GBR;Território Antártico Britânico;British Antarctic Territory;Territorio Antártico Británico;Europe
291;268;GEO;Geórgia;Georgia;Georgia;Asia
150;831;GGY;Canal, Ilhas do (Guernsey);Guernsey;Guernsey;Europe
321;898;GGY;Guernsey;Guernsey;Guernsey;Europe
289;288;GHA;Gana;Ghana;Ghana;Africa
293;292;GIB;Gibraltar;Gibraltar;Gibraltar;Europe
329;324;GIN;Guiné;Guinea;Guinea;Africa
309;312;GLP;Guadalupe;Guadeloupe;Guadalupe;Americas
285;270;GMB;Gâmbia;Gambia;Gambia;Africa
334;624;GNB;Guiné-Bissau;Guinea-Bissau;Guinea-Bissau;Africa
331;226;GNQ;Guiné Equatorial;Equatorial Guinea;Guinea Ecuatorial;Africa
301;300;GRC;Grécia;Greece;Grecia;Europe
297;308;GRD;Granada;Grenada;Granada;Americas
305;304;GRL;Groenlândia;Greenland;Groenlandia;Americas
317;320;GTM;Guatemala;Guatemala;Guatemala;Americas
325;254;GUF;Guiana Francesa;French Guyana;Guyana Francesa;Americas
313;316;GUM;Guam;Guam;Guam;Oceania
337;328;GUY;Guiana;Guyana;Guyana;Americas
351;344;HKG;Hong Kong;Hong Kong;Hong Kong;Asia
343;334;HMD;Heard e ilhas mcdonald, Ilha;"
Heard Island and McDonald Islands";Islas Heard y McDonald;Oceania
345;340;HND;Honduras;Honduras;Honduras;Americas
195;191;HRV;Croácia;Croatia;Croacia;Europe
341;332;HTI;Haiti;Haiti;Haiti;Americas
355;348;HUN;Hungria;Hungary;Hungría;Europe
365;360;IDN;Indonésia;Indonesia;Indonesia;Asia
359;833;IMN;Ilha de Man;Isle of Man;Isla de Man;Europe
361;356;IND;Índia;India;India;Asia
782;86;IOT;Território Britânico do Oceano Índico;British Indian Ocean Territory;Territorio Británico del Océano Indico;Africa
375;372;IRL;Irlanda;Ireland;Irlanda;Europe
372;364;IRN;Irã;Iran;Irán;Asia
369;368;IRQ;Iraque;Iraq;Irak;Asia
379;352;ISL;Islândia;Iceland;Islandia;Europe
383;376;ISR;Israel;Israel;Israel;Asia
386;380;ITA;Itália;Italy;Italia;Europe
391;388;JAM;Jamaica;Jamaica;Jamaica;Americas
403;400;JOR;Jordânia;Jordan;Jordania;Asia
399;392;JPN;Japão;Japan;Japón;Asia
153;398;KAZ;Cazaquistão;Kazakhstan;Kazakhstán;Asia
623;404;KEN;Quênia;Kenya;Kenya;Africa
625;417;KGZ;Quirguistão;Kyrgyzstan;Kirguistán;Asia
141;116;KHM;Camboja;Cambodia;Camboya;Asia
411;296;KIR;Kiribati;Kiribati;Kiribati;Oceania
678;659;KNA;Saint Kitts e Nevis;St. Kitts and Nevis;St. Kitts y Nevis;Americas
695;659;KNA;São Cristóvão e Névis;Saint Christopher and Nevis;Saint Kitts y Nevis;Americas
190;410;KOR;Coreia do Sul;South Korea;Corea (Sur);Asia
198;414;KWT;Coveite (Kuweit);Kuwait;Kuwait;Asia
420;418;LAO;Laos;Laos;Laos;Asia
431;422;LBN;Líbano;Lebanon;Líbano;Asia
434;430;LBR;Libéria;Liberia;Liberia;Africa
438;434;LBY;Líbia;Libya;Libia;Africa
715;662;LCA;Santa Lúcia;Saint Lucia;Santa Lucia;Americas
440;438;LIE;Liechtenstein;Liechtenstein;Liechtenstein;Europe
750;144;LKA;Sri Lanka;Sri Lanka;Sri Lanka;Asia
426;426;LSO;Lesoto;Lesotho;Lesotho;Africa
442;440;LTU;Lituânia;Lithuania;Lituania;Europe
445;442;LUX;Luxemburgo;Luxembourg;Luxemburgo;Europe
427;428;LVA;Letônia;Latvia;Letonia;Europe
447;446;MAC;Macau;Macao;Macao;Asia
474;504;MAR;Marrocos;Morocco;Marruecos;Africa
495;492;MCO;Mônaco;Monaco;Mónaco;Europe
494;498;MDA;Moldávia;Moldova;Moldova, República de;Europe
450;450;MDG;Madagascar;Madagascar;Madagascar;Africa
461;462;MDV;Maldivas;Maldives;Maldivas;Asia
493;484;MEX;México;Mexico;México;Americas
476;584;MHL;Marshall, Ilhas;Marshall Islands;Islas Marshall;Oceania
449;807;MKD;Macedônia;Macedonia;Macedonia;Europe
464;466;MLI;Mali;Mali;Mali;Africa
467;470;MLT;Malta;Malta;Malta;Europe
93;104;MMR;Mianmar;Myanmar;Myanmar;Asia
498;499;MNE;Montenegro;Montenegro;Montenegro;Europe
497;496;MNG;Mongólia;Mongolia;Mongolia;Asia
472;580;MNP;Marianas do Norte, Ilhas;Northern Marianas;Marianas Septentrionales, Islas;Oceania
505;508;MOZ;Moçambique;Mozambique;Mozambique;Africa
488;478;MRT;Mauritânia;Mauritania;Mauritania;Africa
501;500;MSR;Montserrat;Montserrat;Montserrat;Americas
477;474;MTQ;Martinica;Martinique;Martinica;Americas
485;480;MUS;Maurício;Mauritius;Mauricio;Africa
458;454;MWI;Malavi;Malawi;Malawi;Africa
423;458;MYS;Lebuan, Ilhas;Lebuan;Lebuan;Asia
455;458;MYS;Malásia;Malaysia;Malasia;Asia
507;516;NAM;Namíbia;Namibia;Namibia;Africa
542;540;NCL;Nova Caledônia;New Caledonia;Nueva Caledonia;Oceania
525;562;NER;Níger;Niger;Níger;Africa
535;574;NFK;Norfolk, Ilha;Norfolk Island;Norfolk, Islas;Oceania
528;566;NGA;Nigéria;Nigeria;Nigeria;Africa
521;558;NIC;Nicarágua;Nicaragua;Nicaragua;Americas
531;570;NIU;Niue;Niue;Niue;Oceania
573;528;NLD;Países Baixos (Holanda);Netherlands;Países Bajos;Europe
538;578;NOR;Noruega;Norway;Noruega;Europe
517;524;NPL;Nepal;Nepal;Nepal;Asia
508;520;NRU;Nauru;Nauru;Nauru;Oceania
548;554;NZL;Nova Zelândia;New Zealand;Nueva Zelanda;Oceania
556;512;OMN;Omã;Oman;Omán;Asia
576;586;PAK;Paquistão;Pakistan;Pakistán;Asia
580;591;PAN;Panamá;Panama;Panamá;Americas
593;612;PCN;Pitcairn;Pitcairn;Pitcairn;Oceania
589;604;PER;Peru;Peru;Perú;Americas
267;608;PHL;Filipinas;Philippines;Filipinas;Asia
575;585;PLW;Palau;Palau;Palau;Oceania
545;598;PNG;Papua Nova Guiné;Papua New Guinea;Papua Nueva Guinea;Oceania
583;598;PNG;Papua, Território de;Papua territory;Territorio de Papua;Oceania
603;616;POL;Polônia;Poland;Polonia;Europe
611;630;PRI;Porto Rico;Puerto Rico;Puerto Rico;Americas
187;408;PRK;Coreia do Norte;North Korea;Corea (Norte);Asia
452;620;PRT;Madeira, Ilha da;Madeira;Madeira;Europe
607;620;PRT;Portugal;Portugal;Portugal;Europe
586;600;PRY;Paraguai;Paraguay;Paraguay;Americas
578;275;PSE;Palestina;Palestine;Palestina;Asia
599;258;PYF;Polinésia Francesa;French Polynesia;Polinesia Francesa;Oceania
154;634;QAT;Catar;Qatar;Qatar;Asia
660;638;REU;Reunião;Reunion;Reunión;Africa
670;642;ROU;Romênia;Romania;Rumania;Europe
676;643;RUS;Rússia;Russia;Rusia;Europe
675;646;RWA;Ruanda;Rwanda;Ruanda;Africa
53;682;SAU;Arábia Saudita;Saudi Arabia;Arabia Saudita;Asia
388;891;SCG;Iugoslávia;Yugoslavia;Yugoslavia;
759;736;SDN;Sudão;Sudan;Sudán;Africa
728;686;SEN;Senegal;Senegal;Senegal;Africa
741;702;SGP;Singapura;Singapore;Singapur;Asia
292;239;SGS;Geórgia do Sul e Sandwich do Sul, Ilhas;South Georgia and the South Sandwich Islands;Islas Georgias del Sur y Sandwich del Sur;Americas
710;654;SHN;Santa Helena;Saint Helena;Santa Helena, Ascención y Tristán de Acuña;Africa
755;744;SJM;Svalbard e Jan Mayen;Svalbard and Jan Mayen;Svalbard y Jan Mayen;Europe
677;90;SLB;Salomão, Ilhas;Solomon Islands;Salomón, Islas;Oceania
735;694;SLE;Serra Leoa;Sierra Leone;Sierra Leona;Africa
687;222;SLV;El Salvador;El Salvador;El Salvador;Americas
697;674;SMR;San Marino;San Marino;San Marino;Europe
748;706;SOM;Somália;Somalia;Somalia;Africa
700;666;SPM;São Pedro e Miquelon;Saint Pierre and Miquelon;Saint Pierre y Miquelon;Americas
737;688;SRB;Sérvia;Serbia;Serbia;Europe
760;728;SSD;Sudão do Sul;South Sudan;Sudán del Sur;Africa
720;678;STP;São Tomé e Príncipe;São Tome and Principe;Santo Tomé y Príncipe;Africa
770;740;SUR;Suriname;Suriname;Suriname;Americas
247;703;SVK;Eslováquia;Slovakia;Eslovaquia;Europe
246;705;SVN;Eslovênia;Slovenia;Eslovenia;Europe
764;752;SWE;Suécia;Sweden;Suecia;Europe
754;748;SWZ;Suazilândia;Swaziland;Swazilandia;Africa
699;534;SXM;Sint Maarten;Sint Maarten;Sint Maarten;Americas
731;690;SYC;Seicheles;Seychelles;Seychelles;Africa
744;760;SYR;Síria;Syria;Siria;Asia
823;796;TCA;Turcas e Caicos, Ilhas;Turks and Caicos, Islands;Turcas y Caicos, Islas;Americas
788;148;TCD;Chade;Chad;Chad;Africa
800;768;TGO;Togo;Togo;Togo;Africa
776;764;THA;Tailândia;Thailand;Tailandia;Asia
772;762;TJK;Tadjiquistão;Tajikistan;Tayikistán;Asia
805;772;TKL;Toquelau;Tokelau;Tokelau;Oceania
824;795;TKM;Turcomenistão;Turkmenistan;Turkmenistán;Asia
795;626;TLS;Timor Leste;East Timor;Timor Leste;Asia
810;776;TON;Tonga;Tonga;Tonga;Oceania
815;780;TTO;Trinidad e Tobago;Trinidad and Tobago;Trinidad y Tobago;Americas
820;788;TUN;Tunísia;Tunisia;Túnez;Africa
827;792;TUR;Turquia;Turkey;Turquía;Asia
828;798;TUV;Tuvalu;Tuvalu;Tuvalu;Oceania
161;158;TWN;Taiwan (Formosa);Taiwan;Taiwán;Asia
780;834;TZA;Tanzânia;Tanzania;Tanzanía;Africa
833;800;UGA;Uganda;Uganda;Uganda;Africa
831;804;UKR;Ucrânia;Ukraine;Ucrania;Europe
490;581;UMI;Midway, Ilhas;Midway, Islands;Midways, Islas;Oceania
563;581;UMI;Pacífico, Ilhas do (Administração dos EUA);Pacific, Islands of (U.S. Administration);Pacífico, las Islas (EE.UU administración);Oceania
566;581;UMI;Pacífico, Ilhas do (EUA);Pacific Islands (USA);Pacífico, Islas del (Estados Unidos);Oceania
569;581;UMI;Pacífico, Ilhas do (Território Fideicomisso EUA);Pacifics, Islands of (U.S. trust territory);Pacífico, las islas (EE.UU. TERRITORIO EN FIDEICOMISO;Oceania
845;858;URY;Uruguai;Uruguay;Uruguay;Americas
249;840;USA;Estados Unidos;United States;Estados Unidos;Americas
396;840;USA;Johnston, Ilhas;Johnston (Island);Johnston (Isla);Americas
873;840;USA;Wake, Ilha;Wake Island;Isla Wake;Americas
847;860;UZB;Uzbequistão;Uzbekistan;Uzbekistán;Asia
848;336;VAT;Vaticano;Vatican City;Santa Sede (Vaticano);Europe
705;670;VCT;São Vicente e Granadinas;Saint Vicent and the Granadines;San Vicente y las Granadinas;Americas
850;862;VEN;Venezuela;Venezuela;Venezuela;Americas
863;92;VGB;Virgens, Ilhas (Britânicas);Virgin Islands (UK);Vírgenes Británicas, Islas;Americas
866;850;VIR;Virgens, Ilhas (Americanas);Virgin Islands (USA);Vírgenes de los Estados Unidos, Islas;Americas
858;704;VNM;Vietnã;Vietnam;Viet Nam;Asia
551;548;VUT;Vanuatu;Vanuatu;Vanuatu;Oceania
875;876;WLF;Wallis e Futuna, Ilhas;Wallis and Futuna;Wallis y Futuna;Oceania
690;882;WSM;Samoa;Samoa;Samoa;Oceania
357;887;YEM;Iêmen;Yemen;Yemen;Asia
358;720;YMD;Iêmen Democrático;Democratic Yemen;Yemen Democrático;
756;710;ZAF;África do Sul;South Africa;Sudáfrica;Africa
890;894;ZMB;Zâmbia;Zambia;Zambia;Africa
665;716;ZWE;Zimbábue;Zimbabwe;Zimbabwe;Africa
393;898;ZZZ;Jersey;Jersey;Jersey;
489;898;ZZZ;Mayotte;Mayotte;Mayotte;
698;898;ZZZ;São Martinho, Ilha de (parte francesa);São Martinho, Ilha de (parte francesa);São Martinho, Ilha de (parte francesa);
785;898;ZZZ;Território da Alta Comissão do Pacífico Ocidental;Territory of the High Commissioner of the Western Pacif;Territorio del Alto Comisionado del Pacífico Occidental;
840;898;ZZZ;União das Repúblicas Socialistas Soviéticas;Union of Soviet Socialist Republics;Unión de Repúblicas Socialistas Soviéticas;
